Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)
333;Carnes e derivados;Carne, bovina, bucho, cru;3,3;1,4;0,1;0,01;0,07;1,52;1,49;0,01;;0,02;;0,14;1,26;0,01;0,09;0,01;0,01;;;;0,07;0,01
334;Carnes e derivados;Carne, bovina, capa de contra-filé, com gordura, crua;6,9;6,2;0,1;0,01;0,53;3,82;2,03;0,01;;;;0,73;5,33;0,01;0,14;;0,01;;;;0,28;0,03
335;Carnes e derivados;Carne, bovina, capa de contra-filé, com gordura, grelhada;8,8;8,7;0,3;;0,53;4,93;2,82;0,02;;;;0,88;7,67;0,04;0,22;;0,04;0,02;;;0,28;0,02
336;Carnes e derivados;Carne, bovina, capa de contra-filé, sem gordura, crua;1,9;1,9;0,1;;0,12;1,05;0,58;Tr;Tr;Tr;;0,20;1,66;0,01;0,07;Tr;0,01;;;;0,06;Tr
337;Carnes e derivados;Carne, bovina, capa de contra-filé, sem gordura, grelhada;4,3;4,3;0,2;0,01;0,27;2,42;1,29;0,01;0,01;;;0,44;3,85;;0,16;0,04;0,04;;;;0,14;0,01
338;Carnes e derivados;Carne, bovina, charque, cozido;4,8;5,4;0,4;;0,31;2,61;1,73;0,01;0,02;;0,10;0,50;4,68;0,02;0,19;0,05;0,06;0,02;0,04;;0,32;0,08
339;Carnes e derivados;Carne, bovina, charque, cru;8,7;6,6;0,2;;0,80;4,45;3,14;;;;;0,54;5,70; ;0,16;;;;;;0,80;
340;Carnes e derivados;Carne, bovina, contra-filé, à milanesa;7,2;8,1;6,9;;0,33;4,21;2,35;0,05;0,06;0,02;0,09;0,45;7,36;0,03;6,22;0,61;0,05;;0,02;;0,36;
341;Carnes e derivados;Carne, bovina, contra-filé de costela, cru;6,7;4,6;0,1;0,01;0,40;3,15;2,85;0,02;0,01;;;0,35;4,21;0,02;0,13;;;;;;0,24;0,01
342;Carnes e derivados;Carne, bovina, contra-filé de costela, grelhado;8,8;5,6;0,2;0,02;0,59;4,28;3,53;0,02;;;;0,47;5,06;;0,17;0,03;0,02;;;;0,23;0,02
343;Carnes e derivados;Carne, bovina, contra-filé, com gordura, cru;5,6;5,5;0,2;0,01;0,41;3,21;1,57;0,01;0,01;;;0,62;4,81;0,01;0,15;0,05;0,02;;;;0,17;0,02
344;Carnes e derivados;Carne, bovina, contra-filé, com gordura, grelhado;7,4;6,3;0,2;0,01;0,50;4,24;2,24;0,01;;;;0,63;5,58;;0,14;0,03;0,01;;;;0,19;0,01
345;Carnes e derivados;Carne, bovina, contra-filé, sem gordura, cru;2,7;2,6;0,1;;0,15;1,48;0,89;0,01;;;;0,22;2,32;0,01;0,09;;0,02;0,01;;;0,08;0,01
346;Carnes e derivados;Carne, bovina, contra-filé, sem gordura, grelhado;2,0;1,9;0,1;;0,09;1,12;0,68;;;0,01;;0,16;1,75;;0,07;0,01;0,01;;;;0,04;
347;Carnes e derivados;Carne, bovina, costela, assada;11,8;12,1;0,3;0,03;0,89;6,32;3,76;0,03;;;;1,17;10,64;0,08;0,13;0,15;0,03;;;;0,76;0,10
348;Carnes e derivados;Carne, bovina, costela, crua;14,9;12,7;0,3;0,03;1,11;7,76;5,15;0,03;;;;1,31;11,05;0,12;0,15;0,12;;;;;0,76;0,15
349;Carnes e derivados;Carne, bovina, coxão duro, sem gordura, cozido;3,5;4,1;0,2;;0,20;1,99;1,14;0,01;0,01;;;0,45;3,59;0,01;0,11;0,02;0,02;;;;0,16;0,08
350;Carnes e derivados;Carne, bovina, coxão duro, sem gordura, cru;2,9;2,4;0,1;;0,21;1,66;0,98;0,01;;;;0,22;2,12;;0,05;0,01;0,01;;;;0,10;0,04
351;Carnes e derivados;Carne, bovina, coxão mole, sem gordura, cozido;4,3;3,4;0,2;;0,26;2,36;1,46;0,01;;;;0,28;3,10;0,01;0,14;0,01;0,02;;;;0,15;0,05
352;Carnes e derivados;Carne, bovina, coxão mole, sem gordura, cru;3,9;3,7;0,1;;0,29;2,34;1,06;0,01;;;;0,45;3,23;;0,08;0,01;0,01;;;;0,12;0,02
353;Carnes e derivados;Carne, bovina, cupim, assado;5,5;5,4;0,2;0,02;0,40;3,07;1,65;0,01;0,01;;;0,61;4,71;0,02;0,16;0,03;0,02;;;;0,22;0,01
354;Carnes e derivados;Carne, bovina, cupim, cru;6,8;6,4;0,2;0,01;0,46;3,80;2,06;0,01;0,01;;;0,71;5,56;0,04;0,15;0,06;;;;;0,30;0,03
355;Carnes e derivados;Carne, bovina, fígado, cru;2,8;1,5;0,1;Tr;0,18;1,28;1,44;0,01;0,01;Tr;;0,09;1,43;0,01;0,05;Tr;Tr;;Tr;;0,16;0,05
356;Carnes e derivados;Carne, bovina, fígado, grelhado;4,7;2,2;1,1;;0,14;2,30;1,86;0,01;0,12;0,02;;0,23;1,89;;0,37;0,10;0,31;0,07;0,16;0,04;0,09;0,02
